0.304,0.424,2.288,0.458,0.321,0.03,0
0.304,0.421,2.337,0.468,0.321,0.03,0
0.304,0.418,2.343,0.471,0.321,0.03,0
0.304,0.416,2.34,0.473,0.321,0.03,0
0.304,0.414,2.344,0.474,0.321,0.03,0
0.304,0.413,2.341,0.475,0.322,0.03,0
0.304,0.414,2.343,0.475,0.321,0.03,0
0.304,0.412,2.343,0.477,0.322,0.03,0
0.305,0.412,2.331,0.476,0.322,0.03,0
0.304,0.414,2.318,0.475,0.322,0.03,0
0.303,0.416,2.3,0.471,0.321,0.03,0
0.303,0.414,2.264,0.465,0.322,0.03,0
0.302,0.413,2.301,0.475,0.322,0.03,0
0.301,0.411,2.298,0.476,0.322,0.03,0
0.301,0.41,2.295,0.477,0.322,0.03,0
0.301,0.409,2.288,0.479,0.322,0.03,0
0.3,0.408,2.291,0.48,0.323,0.03,0
0.3,0.406,2.291,0.48,0.322,0.03,0
0.3,0.408,2.279,0.479,0.323,0.03,0
0.299,0.408,2.273,0.479,0.322,0.03,0
0.299,0.408,2.262,0.479,0.322,0.03,0
0.3,0.408,2.249,0.48,0.323,0.03,0
0.3,0.409,2.249,0.48,0.323,0.03,0
0.299,0.408,2.239,0.479,0.323,0.03,0
0.299,0.407,2.249,0.481,0.323,0.03,0
0.299,0.408,2.195,0.471,0.323,0.03,0
0.299,0.407,2.194,0.471,0.323,0.03,0
0.299,0.409,2.219,0.479,0.323,0.03,0
0.303,0.455,1.978,0.43,0.324,0.03,0
0.299,0.409,2.192,0.478,0.324,0.03,0
0.299,0.412,2.141,0.467,0.324,0.03,0
0.299,0.413,2.16,0.472,0.324,0.03,0
0.299,0.413,2.156,0.472,0.324,0.03,0
0.298,0.409,2.159,0.476,0.324,0.03,0
0.298,0.409,2.125,0.469,0.324,0.03,0
0.298,0.409,2.123,0.468,0.324,0.03,0
0.298,0.41,2.139,0.475,0.324,0.03,0
0.298,0.409,2.142,0.477,0.324,0.03,0
0.297,0.409,2.14,0.477,0.325,0.03,0
0.297,0.408,2.133,0.477,0.324,0.03,0
0.297,0.407,2.134,0.477,0.325,0.03,0
0.297,0.406,2.126,0.48,0.325,0.03,0
0.297,0.405,2.127,0.48,0.325,0.03,0
0.297,0.406,2.111,0.479,0.325,0.03,0
0.296,0.411,2.101,0.477,0.325,0.03,0
0.296,0.412,2.089,0.474,0.325,0.03,0
0.296,0.409,2.07,0.468,0.325,0.03,0
0.296,0.408,2.097,0.477,0.325,0.03,0
0.296,0.406,2.063,0.47,0.326,0.03,0
0.295,0.406,2.085,0.478,0.325,0.03,0
0.295,0.405,2.086,0.48,0.326,0.03,0
0.295,0.409,2.072,0.477,0.325,0.03,0
0.295,0.407,2.069,0.478,0.326,0.03,0
0.294,0.408,2.064,0.479,0.326,0.03,0
0.295,0.411,2.043,0.476,0.326,0.03,0
0.295,0.411,2.036,0.474,0.326,0.03,0
0.294,0.409,2.047,0.477,0.326,0.03,0
0.294,0.406,2.048,0.482,0.326,0.03,0
0.294,0.408,2.04,0.479,0.326,0.03,0
0.294,0.409,2.025,0.477,0.326,0.03,0
0.294,0.409,1.997,0.468,0.326,0.03,0
0.294,0.411,2.006,0.474,0.326,0.03,0
0.293,0.406,2.018,0.481,0.326,0.03,0
0.294,0.407,2.011,0.479,0.327,0.03,0
0.293,0.406,2.013,0.482,0.326,0.03,0
0.293,0.406,2.002,0.48,0.327,0.03,0
0.293,0.405,1.998,0.482,0.327,0.03,0
0.293,0.404,1.998,0.482,0.327,0.03,0
0.293,0.405,1.994,0.481,0.327,0.03,0
0.293,0.406,1.986,0.48,0.327,0.03,0
0.293,0.405,1.98,0.483,0.327,0.03,0
0.293,0.406,1.981,0.481,0.326,0.03,0
0.293,0.406,1.967,0.482,0.327,0.03,0
0.292,0.405,1.97,0.482,0.327,0.03,0
0.292,0.404,1.963,0.483,0.327,0.03,0
0.292,0.406,1.956,0.482,0.327,0.03,0
0.291,0.409,1.949,0.48,0.327,0.03,0
0.291,0.41,1.936,0.479,0.328,0.03,0
0.291,0.41,1.93,0.479,0.327,0.03,0
0.29,0.408,1.912,0.472,0.328,0.03,0
0.294,0.457,1.79,0.434,0.329,0.03,0
0.29,0.405,1.927,0.483,0.328,0.03,0
0.29,0.405,1.927,0.484,0.328,0.03,0
0.29,0.406,1.896,0.475,0.328,0.03,0
0.29,0.404,1.892,0.476,0.329,0.03,0
0.29,0.404,1.913,0.485,0.329,0.03,0
0.29,0.405,1.908,0.484,0.328,0.03,0
0.29,0.406,1.897,0.485,0.329,0.03,0
0.289,0.406,1.898,0.485,0.329,0.03,0
0.289,0.406,1.891,0.486,0.328,0.03,0
0.289,0.404,1.894,0.486,0.328,0.03,0
0.289,0.406,1.885,0.486,0.329,0.03,0
0.29,0.405,1.88,0.485,0.328,0.03,0
0.289,0.406,1.866,0.484,0.329,0.03,0
0.289,0.406,1.865,0.486,0.329,0.03,0
0.289,0.406,1.819,0.467,0.329,0.03,0
0.289,0.406,1.86,0.486,0.329,0.03,0
0.29,0.407,1.846,0.483,0.33,0.03,0
